date,cash,position_value,equity,open_positions,portfolio_heat
2018-01-25,88537.09500024484,27204.641823077352,115741.7368233222,1,0.006914355847571836
2018-01-26,88537.09500024484,27331.791314101407,115868.88631434625,1,0.006906768333315482
2018-01-29,88537.09500024484,27325.749696125178,115862.84469637001,1,0.00690712848376604
2018-01-30,88537.09500024484,27049.372062183505,115586.46706242835,1,0.006923644048919902
2018-01-31,88537.09500024484,27194.649985233937,115731.74498547877,1,0.0069149528067071996
2018-02-01,88537.09500024484,27142.577929321596,115679.67292956644,1,0.006918065504038227
2018-02-02,88537.09500024484,25845.53897955943,114382.63397980426,1,0.006996512730715381
2018-02-05,88537.09500024484,24541.524528319835,113078.61952856467,1,0.007077196008837909
2018-02-06,88537.09500024484,25117.986482552893,113655.08148279773,1,0.007041300260152333
2018-02-07,88537.09500024484,24373.69743352752,112910.79243377235,1,0.007087715333163222
2018-02-08,88537.09500024484,23279.813926255774,111816.90892650062,1,0.007157053101320278
2018-02-09,88537.09500024484,24122.658098489388,112659.75309873422,1,0.007103508864528567
2018-02-12,88537.09500024484,24451.798361200625,112988.89336144546,1,0.007082816115849605
2018-02-13,88537.09500024484,24455.51779376579,112992.61279401062,1,0.007082582967360841
2018-02-14,88537.09500024484,24864.623173054846,113401.71817329968,1,0.007057032007129529
2018-02-15,88537.09500024484,25325.330088407933,113862.42508865277,1,0.00702847804435365
2018-02-16,88537.09500024484,25448.058839716483,113985.15383996132,1,0.007020910424317851
2018-02-20,88537.09500024484,25626.11213775194,114163.20713799678,1,0.00700996034427367
2018-02-21,88537.09500024484,25832.523649154624,114369.61864939946,1,0.006997308938011926
2018-02-22,88537.09500024484,25723.041015552903,114260.13601579773,1,0.007004013671940761
2018-02-23,88537.09500024484,26191.650159689223,114728.74515993406,1,0.00697540580346149
2018-02-26,88537.09500024484,26585.876019668758,115122.97101991359,1,0.006951519299080881
2018-02-27,88537.09500024484,25994.07118247328,114531.16618271812,1,0.006987439152900325
2018-02-28,88537.09500024484,25678.8747665215,114215.96976676634,1,0.007006722058628594
2018-03-01,88537.09500024484,24860.438587787925,113397.53358803276,1,0.007057292425070121
2018-03-02,88537.09500024484,25078.936913240766,113616.03191348561,1,0.007043720338885286
