entry_date,exit_date,entry_price,exit_price,shares,return_pct,exit_reason,window,strategy,params
2022-03-24,2022-04-12,140.14700381469726,127.18892956924438,712.8236578798937,-0.0942738526064044,signal_exit,9,ema_cross,"{'fast_window': 20, 'slow_window': 30}"
2022-08-03,2022-08-30,117.80076853179929,108.8949652824402,768.0945866013425,-0.0774475049804365,signal_exit,9,ema_cross,"{'fast_window': 20, 'slow_window': 30}"
2022-12-02,2022-12-08,99.99876589965818,93.08235704803467,834.7554736306615,-0.0710247523865541,signal_exit,9,ema_cross,"{'fast_window': 20, 'slow_window': 30}"
2023-01-11,2023-02-24,91.49942405319213,88.52482250213623,1091.811242899454,-0.034442559129726,signal_exit,10,ema_cross,"{'fast_window': 10, 'slow_window': 60}"
2023-03-15,2023-10-27,95.75404511260986,122.26036481094363,1007.3651164166062,0.2742656272565826,signal_exit,10,ema_cross,"{'fast_window': 10, 'slow_window': 60}"
2024-01-08,2024-03-04,139.37146975708006,132.96060131073,716.7901728683966,-0.047904524541941065,signal_exit,11,ema_cross,"{'fast_window': 20, 'slow_window': 60}"
2024-03-20,2024-08-06,148.44604261779784,159.2383646697998,640.7340433963817,0.07055872488430576,signal_exit,11,ema_cross,"{'fast_window': 20, 'slow_window': 60}"
2025-01-24,2025-01-27,200.95499576568602,192.6702945175171,497.12672989022707,-0.04314228092980266,signal_exit,12,ema_cross,"{'fast_window': 15, 'slow_window': 50}"
2025-01-30,2025-02-07,201.68158568572994,186.0779044952393,473.96583778475303,-0.0792113229432353,signal_exit,12,ema_cross,"{'fast_window': 15, 'slow_window': 50}"
2026-01-07,2026-02-13,322.170220916748,305.46782566833497,310.08483532658687,-0.05373780520483764,signal_exit,13,ema_cross,"{'fast_window': 15, 'slow_window': 50}"
