strategy,params,total_return,cagr,max_drawdown,sharpe,sortino,calmar,number_of_trades,win_rate,average_trade_return,profit_factor
volume_breakout,"{'breakout_window': 20, 'volume_multiplier': 1.5, 'trend_window': 100}",0.2766694513930721,0.05026820450043834,-0.22901874176931947,0.3587389444722811,0.3374148282197711,0.21949384627687502,10.0,0.3,0.03252209133391439,1.928194700451482
donchian_breakout,"{'entry_window': 20, 'exit_window': 20}",0.24832328125530578,0.04554364987933246,-0.5049088488792572,0.30808673576954576,0.33677947254475,0.09020172647087765,18.0,0.3888888888888889,0.020207960490515132,1.4630827173064644
donchian_breakout,"{'entry_window': 55, 'exit_window': 20}",0.24485046785942344,0.04495894502689701,-0.33250489572723996,0.3273210599569054,0.2909747302066506,0.13521288138800122,12.0,0.5,0.026262045851472904,1.6144798209911857
rsi_pullback,"{'rsi_window': 10, 'entry_threshold': 45, 'exit_threshold': 60}",0.23440549705471247,0.0431924715071248,-0.2556341038148815,0.37138189437401237,0.26848816785282686,0.1689620862887794,14.0,0.7142857142857143,0.02039625753680534,2.0493614470682555
bollinger_mean_reversion,"{'window': 30, 'std_mult': 1.5}",0.2335429010569816,0.043046054287050106,-0.29439902887968106,0.3257832774245194,0.2801996900119124,0.14621669932424522,17.0,0.7058823529411765,0.013613747044534287,1.6435545758813124
macd_momentum,"{'fast': 12, 'slow': 21, 'signal': 9}",0.23339687216740068,0.043021259215292096,-0.44377671957972287,0.3006613887794327,0.31811127083528,0.09694347927046562,54.0,0.4074074074074074,0.006076383279145679,1.3066631835637503
volume_breakout,"{'breakout_window': 40, 'volume_multiplier': 1.5, 'trend_window': 50}",0.22876906283321752,0.04223425922993318,-0.13958114373963337,0.3600998551172214,0.26753252700720825,0.3025785439093015,8.0,0.625,0.03366482340151656,2.7090748773101327
volume_breakout,"{'breakout_window': 40, 'volume_multiplier': 1.5, 'trend_window': 75}",0.22850192567389205,0.04218875791713517,-0.17363286841292824,0.3410613594950329,0.25466967508374533,0.24297679525055813,7.0,0.42857142857142855,0.03740522228375145,2.4117092195866507
rsi_pullback,"{'rsi_window': 10, 'entry_threshold': 35, 'exit_threshold': 65}",0.22499717492840388,0.04159106217775421,-0.2275738163020905,0.37892911379094063,0.24002476061483916,0.18275855655795037,7.0,0.5714285714285714,0.03147509207966887,2.9690376985174174
volume_breakout,"{'breakout_window': 40, 'volume_multiplier': 1.2, 'trend_window': 50}",0.2241606701377754,0.041448203724215205,-0.16668333190145213,0.3402051859909883,0.25867192719270404,0.24866435804583356,10.0,0.5,0.03014803273079818,2.2629901133370174
