strategy,params,total_return,cagr,max_drawdown,sharpe,sortino,calmar,number_of_trades,win_rate,average_trade_return,profit_factor
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 75, 'long_window': 150, 'atr_stop_multiplier': 2.5}",0.9494621029376258,0.14344154420290756,-0.4715340154252712,0.5671552779404163,0.6525139669894755,0.304201901687918,23.0,0.2608695652173913,0.043121039800077074,2.3512450278875208
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 75, 'long_window': 200, 'atr_stop_multiplier': 2.5}",0.9494621029376258,0.14344154420290756,-0.4715340154252712,0.5671552779404163,0.6525139669894755,0.304201901687918,23.0,0.2608695652173913,0.043121039800077074,2.3512450278875208
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 75, 'long_window': 150, 'atr_stop_multiplier': 3.0}",0.9288230167216898,0.1410004102660407,-0.4839893838169672,0.5600753108264345,0.6350157242915633,0.29132955180554865,23.0,0.2608695652173913,0.04271445130152798,2.3216649361971253
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 75, 'long_window': 200, 'atr_stop_multiplier': 3.0}",0.9288230167216898,0.1410004102660407,-0.4839893838169672,0.5600753108264345,0.6350157242915633,0.29132955180554865,23.0,0.2608695652173913,0.04271445130152798,2.3216649361971253
rsi_pullback,"{'rsi_window': 14, 'entry_threshold': 45, 'exit_threshold': 60}",0.8013520953725177,0.12544269354165727,-0.40573171857780643,0.5334628866113746,0.4451992330089597,0.30917645280819067,13.0,0.8461538461538461,0.053103865692166186,2.961716741579973
rsi_pullback,"{'rsi_window': 14, 'entry_threshold': 45, 'exit_threshold': 65}",0.7468272663036541,0.1185181103171411,-0.40573171857780643,0.5010792919175185,0.4552705084010495,0.29210955143605094,9.0,0.7777777777777778,0.07203671965732146,3.470780335072708
rsi_pullback,"{'rsi_window': 10, 'entry_threshold': 45, 'exit_threshold': 55}",0.7467980856806038,0.11851435845102287,-0.3391322889737719,0.5490132057309101,0.41825051831003185,0.3494635052582346,28.0,0.8214285714285714,0.022486921244586427,2.516001359725188
rsi_pullback,"{'rsi_window': 14, 'entry_threshold': 45, 'exit_threshold': 55}",0.734817476235494,0.1169697153954905,-0.40573171857780643,0.5252656286557622,0.42352574799490705,0.28829324905999293,19.0,0.8947368421052632,0.034352451768277795,2.6149396442458235
rsi_pullback,"{'rsi_window': 21, 'entry_threshold': 40, 'exit_threshold': 60}",0.7107915700468215,0.11384621844821186,-0.20899988948535453,0.7501325311020154,0.37840559606886903,0.5447190365915936,3.0,1.0,0.19740155807689871,inf
rsi_pullback,"{'rsi_window': 14, 'entry_threshold': 35, 'exit_threshold': 55}",0.6821298132000384,0.11007384297728762,-0.1547597582546112,0.9746972162396157,0.3043376923657417,0.7112562349457398,4.0,1.0,0.13931934526898515,inf
