symbol,framework,strategy,params_json,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,excess_profit_vs_plain_dca,excess_final_equity_vs_plain_dca,excess_irr_pct_vs_plain_dca,investigation_note
MSFT,C_60pct_dca_40pct_tactical_reserve,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 30}",726498.4621284057,610000.0,116498.46212840569,19.098108545640276,6.955046843575265,-29.20447373858954,1.6597353436599387,12000.0,714498.4621284057,10.217674875708859,61.0,72.0,0.0,597.4025974025972,0.6,0.4,19960.139567273785,19960.139567273785,1.1142154998452396,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
AMZN,A_100pct_monthly_dca,plain_dca,{},924908.3239036805,610000.0,314908.32390368055,51.62431539404599,16.717906958644203,-30.70869178127441,1.6186682594277602,0.0,924908.3239036805,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
AMZN,B_entry_timing_only_no_sell,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}",938179.6457394699,610000.0,328179.6457394699,53.79994192450326,17.30049330370934,-29.31993382201408,1.6507225054700396,0.0,938179.6457394699,15.231673968557027,61.0,19.0,0.0,609.3906093906094,0.0,1.0,13271.321835789364,13271.321835789364,0.5825863450651383,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
AMZN,C_60pct_dca_40pct_tactical_reserve,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}",933268.3045234572,610000.0,323268.3045234572,52.99480402023888,17.08576895346045,-29.59070093973225,1.6371235322403472,0.0,933268.3045234572,6.594136276156975,61.0,76.0,0.0,609.390609390609,0.6,0.4,8359.980619776645,8359.980619776645,0.3678619948162485,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
AVGO,A_100pct_monthly_dca,plain_dca,{},2719944.4565381403,610000.0,2109944.4565381403,345.8925338587115,63.73299238290677,-39.29750121061859,1.90684003801696,0.0,2719944.4565381403,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
AVGO,B_entry_timing_only_no_sell,donchian_breakout,"{""entry_window"": 10, ""exit_window"": 20}",2714727.578889824,610000.0,2104727.578889824,345.0373080147252,63.642940374887715,-38.86803282506596,1.9018521736010654,0.0,2714727.578889824,1.6014477329591155,61.0,56.0,0.0,609.3906093906091,0.0,1.0,-5216.877648316324,-5216.877648316324,-0.09005200801905744,Timing lagged because continuous monthly exposure captured the trend better than delayed deployment.
AVGO,C_60pct_dca_40pct_tactical_reserve,bollinger_mean_reversion,"{""std_mult"": 1.5, ""window"": 15}",2712627.060413866,610000.0,2102627.060413866,344.6929607235846,63.606640593555895,-39.237229246083814,1.9012227169111076,0.0,2712627.060413866,2.4999656088712423,61.0,104.0,0.0,609.390609390609,0.6,0.4,-7317.39612427447,-7317.39612427447,-0.12635178935087765,Timing lagged because continuous monthly exposure captured the trend better than delayed deployment.
TSLA,A_100pct_monthly_dca,plain_dca,{},963313.8692823903,610000.0,353313.86928239034,57.92030643973612,18.383710350705826,-56.30459836516029,1.509813024372704,0.0,963313.8692823903,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
TSLA,B_entry_timing_only_no_sell,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 15}",1039041.8135754132,610000.0,429041.8135754132,70.33472353695298,21.499969936211016,-49.49087275601598,1.5630259219255742,30000.0,1009041.8135754132,24.283209769675484,61.0,13.0,0.0,579.4205794205795,0.0,1.0,75727.94429302285,75727.94429302285,3.1162595855051904,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
TSLA,C_60pct_dca_40pct_tactical_reserve,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 15}",995105.4043073416,610000.0,385105.40430734155,63.13203349300681,19.71788886565636,-50.690724812970124,1.544680554633142,12000.0,983105.4043073416,10.407307538581867,61.0,70.0,0.0,597.4025974025972,0.6,0.4,31791.535024951212,31791.535024951212,1.3341785149505334,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
META,A_100pct_monthly_dca,plain_dca,{},1113887.319834288,610000.0,503887.319834288,82.60447866135868,24.385794422054172,-38.75972782396251,1.5971362888760834,0.0,1113887.319834288,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
META,B_entry_timing_only_no_sell,donchian_breakout,"{""entry_window"": 55, ""exit_window"": 20}",1354399.47306625,610000.0,744399.4730662501,122.03270050266394,32.61703106164435,-33.04885543067279,1.7719775705779102,30000.0,1324399.47306625,32.51356224277657,61.0,30.0,0.0,579.4205794205792,0.0,1.0,240512.15323196212,240512.15323196212,8.231236639590175,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
META,C_60pct_dca_40pct_tactical_reserve,volume_breakout,"{""breakout_window"": 20, ""trend_window"": 50, ""volume_multiplier"": 1.0}",1209239.6805697326,610000.0,599239.6805697326,98.23601320815288,27.82159998370386,-32.79341213641419,1.6807622424009225,20000.0,1189239.6805697326,10.994012950159096,61.0,88.0,0.0,589.4105894105891,0.6,0.4,95352.36073544458,95352.36073544458,3.435805561649687,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
MU,A_100pct_monthly_dca,plain_dca,{},6960320.164216123,610000.0,6350320.164216123,1041.0360924944464,111.40501068826043,-49.279248211812664,2.0622163403459663,0.0,6960320.164216123,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
MU,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 60, ""rsi_window"": 14}",7341411.439721107,610000.0,6731411.439721107,1103.5100720854273,114.349774546117,-47.6224083649465,2.134521990931843,20000.0,7321411.439721107,38.11383136951024,61.0,19.0,0.0,589.4105894105893,0.0,1.0,381091.27550498396,381091.27550498396,2.9447638578565716,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
MU,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 55, ""rsi_window"": 14}",7083579.62045993,610000.0,6473579.62045993,1061.242560731136,112.37160684062843,-48.37429245411086,2.1164272628543217,8000.0,7075579.62045993,16.44316804408734,61.0,76.0,0.0,601.398601398601,0.6,0.4,123259.45624380745,123259.45624380745,0.9665961523679982,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
WMT,A_100pct_monthly_dca,plain_dca,{},1246810.3310369425,610000.0,636810.3310369425,104.39513623556435,29.10961449549292,-22.71192753590072,1.849489141568563,0.0,1246810.3310369425,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
WMT,B_entry_timing_only_no_sell,bollinger_mean_reversion,"{""std_mult"": 2.0, ""window"": 15}",1252798.4809861693,610000.0,642798.4809861693,105.3768001616671,29.311720731527974,-19.823462309489727,1.8359277480169358,0.0,1252798.4809861693,8.813754299380596,61.0,36.0,0.0,609.3906093906093,0.0,1.0,5988.149949226761,5988.149949226761,0.2021062360350534,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
WMT,C_60pct_dca_40pct_tactical_reserve,bollinger_mean_reversion,"{""std_mult"": 2.0, ""window"": 15}",1248737.8073020824,610000.0,638737.8073020824,104.71111595116105,29.174762321737337,-21.075435021394007,1.8452778588876584,4000.0,1244737.8073020824,3.8414391634628178,61.0,91.0,0.0,605.394605394605,0.6,0.4,1927.4762651398778,1927.4762651398778,0.0651478262444165,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
AMD,A_100pct_monthly_dca,plain_dca,{},2632357.2031122656,610000.0,2022357.2031122656,331.53396772332223,62.2013212523284,-52.519342852934926,1.8275614988275213,0.0,2632357.2031122656,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
AMD,B_entry_timing_only_no_sell,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 30}",2801827.1152304136,610000.0,2191827.1152304136,359.315920529576,65.1276343701834,-40.89186970345644,1.8690751520427786,90000.0,2711827.1152304136,34.59631136582138,61.0,6.0,0.0,519.4805194805194,0.0,1.0,169469.91211814806,169469.91211814806,2.9263131178550026,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
AMD,C_60pct_dca_40pct_tactical_reserve,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 30}",2707947.6454022466,610000.0,2097947.6454022466,343.92584350856504,63.52568846846482,-47.760802801165035,1.8704332319636234,36000.0,2671947.6454022466,14.371285016444821,61.0,65.0,0.0,573.4265734265731,0.6,0.4,75590.44228998106,75590.44228998106,1.324367216136423,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
ASML,A_100pct_monthly_dca,plain_dca,{},1584402.0531580509,610000.0,974402.0531580509,159.7380415013198,39.36160189942426,-34.790897213295565,1.7343950531027348,0.0,1584402.0531580509,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
ASML,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 65, ""rsi_window"": 14}",1648673.8635985092,610000.0,1038673.8635985092,170.27440386860806,41.09301173792862,-34.852019590695136,1.817389688363264,0.0,1648673.8635985092,31.6578420115345,61.0,31.0,0.0,609.3906093906091,0.0,1.0,64271.81044045836,64271.81044045836,1.7314098385043621,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
ASML,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 55, ""rsi_window"": 14}",1601325.5915468636,610000.0,991325.5915468636,162.51239205686286,39.82334247026229,-34.48460869519819,1.791137760159916,8000.0,1593325.5915468636,14.414842317921917,61.0,78.0,0.0,601.398601398601,0.6,0.4,16923.53838881268,16923.53838881268,0.46174057083803177,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
INTC,A_100pct_monthly_dca,plain_dca,{},2332738.8062473945,610000.0,1722738.8062473945,282.4161977454745,56.612333890446564,-52.20609060399498,1.7072159726811051,0.0,2332738.8062473945,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
