symbol,framework,objective,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,total_buys,excess_final_equity_vs_plain_dca,excess_irr_vs_plain_dca,beat_plain_dca,sortino
MSFT,C_60pct_dca_40pct_tactical_reserve,risk_adjusted,427309.38349061436,420000.0,7309.38349061436,,0.9960259790149053,-25.203233717867903,1.8692310587649352,,,12.263313359753157,,,,,,,52.0,-5684.261288683279,-0.7656384278065069,False,7.745654538904358
MSFT,C_60pct_dca_40pct_tactical_reserve,plateau,433885.9053494696,420000.0,13885.905349469627,,1.8811506484293816,-25.3629856579934,1.8330916784962497,,,9.321811933337864,,,,,,,54.0,892.2605701719876,0.11948624160796939,True,7.7457750800419145
AMZN,A_100pct_monthly_dca,baseline,599424.4332867472,420000.0,179424.4332867472,42.72010316351123,21.399199308545096,-26.99375356693744,2.0527327298046756,0.0,599424.4332867472,0.0,42.0,42.0,0.0,419.58041958041935,1.0,0.0,,0.0,0.0,False,
AMZN,B_entry_timing_only_no_sell,final_equity,564861.6281424045,420000.0,144861.6281424045,,17.695421733387732,-26.354869114474923,1.8788733027875477,,,21.509103998361137,,,,,,,31.0,-34562.80514434271,-3.703777575157364,False,6.8717585645912305
AMZN,B_entry_timing_only_no_sell,irr,564861.6281424045,420000.0,144861.6281424045,,17.695421733387732,-26.354869114474923,1.8788733027875477,,,21.509103998361137,,,,,,,31.0,-34562.80514434271,-3.703777575157364,False,6.8717585645912305
AMZN,B_entry_timing_only_no_sell,risk_adjusted,558904.9503156085,420000.0,138904.95031560853,,17.040006091625436,-26.267439668229684,1.8755739897157129,,,22.205779569575853,,,,,,,30.0,-40519.48297113867,-4.35919321691966,False,6.921848279873588
AMZN,B_entry_timing_only_no_sell,plateau,564861.6281424045,420000.0,144861.6281424045,,17.695421733387732,-26.354869114474923,1.8788733027875477,,,21.509103998361137,,,,,,,31.0,-34562.80514434271,-3.703777575157364,False,6.8717585645912305
AMZN,C_60pct_dca_40pct_tactical_reserve,final_equity,588752.0272562245,420000.0,168752.02725622454,,20.273039261036878,-26.2182191116076,2.0038687928709007,,,10.800578925463865,,,,,,,51.0,-10672.40603052266,-1.1261600475082183,False,7.414558748633821
AMZN,C_60pct_dca_40pct_tactical_reserve,irr,588752.0272562245,420000.0,168752.02725622454,,20.273039261036878,-26.2182191116076,2.0038687928709007,,,10.800578925463865,,,,,,,51.0,-10672.40603052266,-1.1261600475082183,False,7.414558748633821
AMZN,C_60pct_dca_40pct_tactical_reserve,risk_adjusted,583722.1476058409,420000.0,163722.14760584093,,19.73696580848593,-26.218164775864427,1.9971044564515168,,,9.571153376589475,,,,,,,59.0,-15702.285680906265,-1.6622335000591661,False,7.2369591563236195
AMZN,C_60pct_dca_40pct_tactical_reserve,plateau,585338.1623701003,420000.0,165338.16237010027,,19.909573825355537,-26.63615591370394,1.995968630544208,,,8.340120952823318,,,,,,,68.0,-14086.270916646929,-1.4896254831895597,False,7.200878137302781
AVGO,A_100pct_monthly_dca,baseline,1228962.7188081262,420000.0,808962.7188081262,192.61017114479196,70.96960559665987,-36.478366019886835,2.087727994495716,0.0,1228962.7188081262,0.0,42.0,42.0,0.0,419.58041958041935,1.0,0.0,,0.0,0.0,False,
